
Name,Latitude,LatDir,Longitude,LonDir,Code,LatDecimal,LonDecimal
Castro D’Aire,4053,N,00756,W,CAIRE,40.883333,-7.933333
Castro Laboreiro,4201,N,00809,W,CLABO,42.016667,-8.15
Castro Verde,3741,N,00805,W,CVERD,37.683333,-8.083333
Castro Vicente,4122,N,00650,W,CVICE,41.366667,-6.833333
Celeiro,4134,N,00806,W,CLEIR,41.566667,-8.1
Celorico Da Beira,4038,N,00723,W,CEBEI,40.633333,-7.383333
Celorico De Basto,4123,N,00800,W,CBAST,41.383333,-8.0
Cercal Do Alentejo,3748,N,00840,W,CCALJ,37.8,-8.666667
Cernache,4008,N,00828,W,CERNA,40.133333,-8.466667
Cerva (Ribeira De Pena),4128,N,00750,W,CERVA,41.466667,-7.833333
Chamusca,3921,N,00828,W,CHAMU,39.35,-8.466667
Chanca – Alter Do Chao,3914,N,00749,W,CHANC,39.233333,-7.816667
Chancelaria,3933,N,00833,W,CCLAR,39.55,-8.55
Chaves,4144,N,00728,W,CHAVE,41.733333,-7.466667
Cinfaes,4104,N,00805,W,CINFA,41.066667,-8.083333
Coimbra,4012,N,00824,W,COIMB,40.2,-8.4
Coina,3835,N,00902,W,COINA,38.583333,-9.033333
Colares,3848,N,00926,W,COLAR,38.8,-9.433333
Comporta,3825,N,00849,W,CPORT,38.416667,-8.816667
Conceicao (Ourique),3746,N,00814,W,CONCE,37.766667,-8.233333
Condeixa-A-Nova,4006,N,00829,W,CNOVA,40.1,-8.483333
Coruche,3857,N,00831,W,CORUC,38.95,-8.516667
Couco,3959,N,00817,W,COUCO,39.983333,-8.283333
Cova Do Vapor,3839,N,00915,W,CVAPO,38.65,-9.25
Covilhã,4016,N,00729,W,COVIL,40.266667,-7.483333
Covoes,4025,N,00836,W,COVOE,40.416667,-8.6
Crato,3917,N,00738,W,CRATO,39.283333,-7.633333
Cuba,3810,N,00753,W,CUBA,38.166667,-7.883333
Doca Do Poco Do Bispo,3844,N,00906,W,DPBIS,38.733333,-9.1
Dois Portos,3902,N,00910,W,DPORT,39.033333,-9.166667
Elvas,3852,N,00709,W,ELVAS,38.866667,-7.15
Entrocamento,3927,N,00828,W,ENTRO,39.45,-8.466667
Ericeira,3857,N,00925,W,ERICE,38.95,-9.416667
Ermesinde,4112,N,00832,W,ERMES,41.2,-8.533333
Ermidas Do Sado,3800,N,00824,W,ESADO,38.0,-8.4
Ervedosa Do Douro,4109,N,00728,W,EDOSA,41.15,-7.466667
Ervidel,3757,N,00805,W,ERVID,37.95,-8.083333
Esmoriz,4057,N,00837,W,ESMOR,40.95,-8.616667
Espichel (Cabo),3825,N,00911,W,ESPIO,38.416667,-9.183333
Espinho,4100,N,00838,W,ESPIN,41.0,-8.633333
Esposende,4132,N,00847,W,ESPOS,41.533333,-8.783333
Estadio Nacional,3842,N,00915,W,ENACI,38.7,-9.25
Estarreja,4045,N,00834,W,ESTAR,40.75,-8.566667
Estremoz,3850,N,00735,W,ESTOZ,38.833333,-7.583333
Evora,3834,N,00754,W,EVORA,38.566667,-7.9
Fafe,4127,N,00810,W,FAFE,41.45,-8.166667
Famalicao,4122,N,00830,W,FAMAL,41.366667,-8.5
Faro,3701,N,00755,W,FARO,37.016667,-7.916667
Fatima,3937,N,00840,W,FTIMA,39.616667,-8.666667
Felgueiras,4121,N,00811,W,FELGR,41.35,-8.183333
Fermentelos (Pateira),4034,N,00831,W,FERNE,40.566667,-8.516667
Ferragudo,3706,N,00830,W,FGUDO,37.1,-8.5
Ferreira Do Alentejo,3803,N,00806,W,FERAL,38.05,-8.1
Ferreira Do Zezere,3941,N,00817,W,FEZEZ,39.683333,-8.283333
Ferreiras,3707,N,00814,W,FERRS,37.116667,-8.233333
Figueira Da Foz,4008,N,00852,W,FGFOZ,40.133333,-8.866667
Figueira De Castelo Rodrigo,4053,N,00657,W,FCRDG,40.883333,-6.95
Figueira De Cavaleiros Aerodromo,3804,N,00814,W,FIGCA,38.066667,-8.233333
Figueiro Dos Vinhos,3954,N,00816,W,FVINH,39.9,-8.266667
Folgosa,4116,N,00832,W,FOLGS,41.266667,-8.533333
Fonte Da Telha,3834,N,00911,W,FTELH,38.566667,-9.183333
Fornos De Algodres,4037,N,00732,W,FADRS,40.616667,-7.533333
Foros De Amora,3837,N,00907,W,FAMOR,38.616667,-9.116667
Foros De Arrao,3910,N,00814,W,FOROS,39.166667,-8.233333
Foz Do Arelho,3925,N,00914,W,FOZAR,39.416667,-9.233333
Foz Do Douro,4108,N,00840,W,FOURO,41.133333,-8.666667
Freamunde,4117,N,00820,W,FREAM,41.283333,-8.333333
Freixeiro,4113,N,00841,W,FREXI,41.216667,-8.683333
Freixial (Alcacer Do Sal),3825,N,00819,W,FXIAL,38.416667,-8.316667
Freixianda,3945,N,00827,W,FRXDA,39.75,-8.45
Freixo De Espada A Cinta,4105,N,00648,W,FREIX,41.083333,-6.8
Fronteira,3903,N,00738,W,FRONT,39.05,-7.633333
Fundao,4008,N,00730,W,FUNDA,40.133333,-7.5
Furadouro,4052,N,00840,W,FURAD,40.866667,-8.666667
Fuzeta,3703,N,00744,W,FZETA,37.05,-7.733333
Gaia,4107,N,00836,W,GAIA,41.116667,-8.6
Galveias,3909,N,00759,W,GALVE,39.15,-7.983333
Gandara Dos Olivais,3946,N,00849,W,GVAIS,39.766667,-8.816667
Garvão,3742,N,00820,W,GRVAO,37.7,-8.333333
Gois,4009,N,00806,W,GOIS,40.15,-8.1
Gondifelos,4125,N,00835,W,GONDI,41.416667,-8.583333
Gondomar,4108,N,00832,W,GONDO,41.133333,-8.533333
Gouveia,4029,N,00735,W,GVEIA,40.483333,-7.583333
Grandola,3810,N,00834,W,GDOLA,38.166667,-8.566667
Guarda,4032,N,00716,W,GUARD,40.533333,-7.266667
Guimaraes,4126,N,00817,W,GUIMA,41.433333,-8.283333
Guincho,3843,N,00928,W,GUINC,38.716667,-9.466667
Herdade Do Montinho,3818,N,00812,W,HMONT,38.3,-8.2
Hospital De Gaia – Serra Do Pilar,4107,N,00836,W,HOGAI,41.116667,-8.6
Hospital S. Francisco Xavier – Lisboa,3842,N,00913,W,HOSFX,38.7,-9.216667
Hospital Santa Maria – Lisboa,3844,N,00909,W,HOSTM,38.733333,-9.15
Idanha-A-Nova,3955,N,00714,W,INOVA,39.916667,-7.233333
